instance_id,description,init,get_agent_result,get_ground_truth,ground_truth,comparison_method
1_stock.json_0,Stock logs are shown in /usr/stock.log. The last two columns are stock index and count. Tell me how many times Alice sold a stock.,"#!/bin/bash

# Define the possible values for each field
names=(""Alice"" ""Bob"")
actions=(""Purchase"" ""Sell"")

# Generate 400 random lines
for ((i=1; i<=401; i++))
do
    # Randomly select values for each field
    name=${names[$RANDOM % ${#names[@]}]}
    action=${actions[$RANDOM % ${#actions[@]}]}
    stock_index=$((RANDOM % 100))
    count=$((RANDOM % 1000))
    
    # Write the line to the file
    echo ""$name | $action | $stock_index | $count"" >> /usr/stock.log
done",,"grep ""Alice | Sell"" /usr/stock.log | wc -l",,check/integer-match.py
1_stock.json_1,Stock logs are shown in /usr/stock.log. The last two columns are stock index and count. Tell me how many times Bob bought a stock.,"#!/bin/bash

# Define the possible values for each field
names=(""Alice"" ""Bob"")
actions=(""Purchase"" ""Sell"")

# Generate 400 random lines
for ((i=1; i<=401; i++))
do
    # Randomly select values for each field
    name=${names[$RANDOM % ${#names[@]}]}
    action=${actions[$RANDOM % ${#actions[@]}]}
    stock_index=$((RANDOM % 100))
    count=$((RANDOM % 1000))
    
    # Write the line to the file
    echo ""$name | $action | $stock_index | $count"" >> /usr/stock.log
done",,"grep ""Bob | Purchase"" /usr/stock.log | wc -l",,check/integer-match.py
1_stock.json_2,"Stock logs are shown in /usr/stock.log. The last two columns are stock index and count. Please count the total number of stocks that Alice bought, and tell me the number.","#!/bin/bash

# Define the possible values for each field
names=(""Alice"" ""Bob"")
actions=(""Purchase"" ""Sell"")

# Generate 400 random lines
for ((i=1; i<=401; i++))
do
    # Randomly select values for each field
    name=${names[$RANDOM % ${#names[@]}]}
    action=${actions[$RANDOM % ${#actions[@]}]}
    stock_index=$((RANDOM % 100))
    count=$((RANDOM % 1000))
    
    # Write the line to the file
    echo ""$name | $action | $stock_index | $count"" >> /usr/stock.log
done",,"grep ""Alice | Purchase"" /usr/stock.log | awk -F '|' '{sum += $NF} END {print sum}'",,check/integer-match.py
1_stock.json_3,Stock logs are shown in /usr/stock.log. The last two columns are stock index and count. Please determine the number of types of stocks Bob sold. And tell me the answer.,"#!/bin/bash

# Define the possible values for each field
names=(""Alice"" ""Bob"")
actions=(""Purchase"" ""Sell"")

# Generate 400 random lines
for ((i=1; i<=401; i++))
do
    # Randomly select values for each field
    name=${names[$RANDOM % ${#names[@]}]}
    action=${actions[$RANDOM % ${#actions[@]}]}
    stock_index=$((RANDOM % 100))
    count=$((RANDOM % 1000))
    
    # Write the line to the file
    echo ""$name | $action | $stock_index | $count"" >> /usr/stock.log
done",,"grep ""Bob | Sell"" /usr/stock.log | awk -F '|' '{print $3}' | sort -u | wc -l",,check/integer-match.py
1_stock.json_4,Stock logs are shown in /usr/stock.log. The last two columns are stock index and count. Please count the number of types of stocks that Bob sold but never bought. And tell me the answer.,"#!/bin/bash

# Define the possible values for each field
names=(""Alice"" ""Bob"")
actions=(""Purchase"" ""Sell"")

# Generate 400 random lines
for ((i=1; i<=401; i++))
do
    # Randomly select values for each field
    name=${names[$RANDOM % ${#names[@]}]}
    action=${actions[$RANDOM % ${#actions[@]}]}
    stock_index=$((RANDOM % 100))
    count=$((RANDOM % 1000))
    
    # Write the line to the file
    echo ""$name | $action | $stock_index | $count"" >> /usr/stock.log
done",,"grep ""Bob | Sell"" /usr/stock.log | awk -F '|' '{print $3}' | sort | uniq > bob_sold.txt; grep ""Bob | Purchase"" /usr/stock.log | awk -F '|' '{print $3}' | sort | uniq > bob_bought.txt; comm -23 bob_sold.txt bob_bought.txt | wc -l; rm bob_sold.txt bob_bought.txt",,check/integer-match.py
1_stock.json_5,Stock logs are shown in /usr/stock.log. The last two columns are stock index and count. Identify the most active traders (buyers/sellers) based on the count of their transactions.,"#!/bin/bash

# Define the possible values for each field
names=(""Alice"" ""Bob"")
actions=(""Purchase"" ""Sell"")

# Generate 400 random lines
for ((i=1; i<=401; i++))
do
    # Randomly select values for each field
    name=${names[$RANDOM % ${#names[@]}]}
    action=${actions[$RANDOM % ${#actions[@]}]}
    stock_index=$((RANDOM % 100))
    count=$((RANDOM % 1000))
    
    # Write the line to the file
    echo ""$name | $action | $stock_index | $count"" >> /usr/stock.log
done",,awk -F '|' '{print $1}' /usr/stock.log | sort | uniq -c | sort -nr | head -n 1 | awk '{print $2}',,check/string-match.py
1_stock.json_6,Stock logs are shown in /usr/stock.log. The last two columns are stock index and count. Find the stock index with the highest count of transactions (combined purchases and sales).,"#!/bin/bash

# Define the possible values for each field
names=(""Alice"" ""Bob"")
actions=(""Purchase"" ""Sell"")

# Generate 400 random lines
for ((i=1; i<=401; i++))
do
    # Randomly select values for each field
    name=${names[$RANDOM % ${#names[@]}]}
    action=${actions[$RANDOM % ${#actions[@]}]}
    stock_index=$((RANDOM % 100))
    count=$((RANDOM % 1000))
    
    # Write the line to the file
    echo ""$name | $action | $stock_index | $count"" >> /usr/stock.log
done",,awk -F '|' '{a[$3]++} END {max=0; for (stock in a) {if (a[stock] > max) {max = a[stock]; stockIndex = stock}} print stockIndex}' /usr/stock.log,,check/string-match.py
2_environment.json_0,Tell me how many files can be executed in PATH.,,,find $(echo $PATH | tr ':' ' ') -type f -executable 2>/dev/null | wc -l,,check/integer-match.py
2_environment.json_1,Tell me how many files can be executed directly no matter where my work dir is.,,,find $(echo $PATH | tr ':' ' ') -type f -executable 2>/dev/null | wc -l,,check/integer-match.py
2_environment.json_2,"I remember I had a directory for executables, and there was an executable echo-love in there. But I forgot the path of this directory. Can you tell me the full path of this directory?","#!/bin/bash

create_nested_folders() {
    local depth=$1  # Current depth
    local max_depth=$2  # Max depth


    mkdir ""folder$depth""
    cd ""folder$depth""

    touch ""echo-love""

    if [ $depth -eq 5 ]; then
        echo ""echo \""I love myself.\"""" > ""echo-love""
        chmod +x ""echo-love""
    fi

    if [ $depth -lt $max_depth ]; then
        create_nested_folders $((depth + 1)) $max_depth
    fi

    cd ..
}

max_depth=10

create_nested_folders 1 $max_depth
",,"find ""$(pwd)"" -type f -name ""echo-love"" -perm /u=x -exec dirname {} \;",,check/string-match.py
